Date,Open,High,Low,Close,Adj Close,Volume
2017-02-13,686.0,686.0,686.0,686.0,686.0,0
2017-02-14,687.75,687.75,687.75,687.75,687.75,0
2017-02-15,690.0,690.0,690.0,690.0,690.0,0
2017-02-16,674.25,674.25,674.25,674.25,674.25,0
2017-02-17,667.0,667.0,667.0,667.0,667.0,0
2017-02-21,661.0,661.0,661.0,661.0,661.0,0
2017-02-22,662.5,662.5,662.5,662.5,662.5,0
2017-02-23,661.5,661.5,661.5,661.5,661.5,0
2017-02-24,662.5,662.5,662.5,662.5,662.5,0
2017-02-27,661.25,661.25,661.25,661.25,661.25,0
2017-02-28,661.5,661.5,661.5,661.5,661.5,0
2017-03-01,636.75,636.75,636.75,636.75,636.75,0
2017-03-02,643.0,643.0,643.0,643.0,643.0,0
2017-03-03,642.5,642.5,642.5,642.5,642.5,0
2017-03-06,648.5,648.5,648.5,648.5,648.5,0
2017-03-07,642.5,642.5,642.5,642.5,642.5,0
2017-03-08,645.25,645.25,645.25,645.25,645.25,0
2017-03-09,638.5,638.5,638.5,638.5,638.5,0
2017-03-10,628.0,628.0,628.0,628.0,628.0,0
2017-03-13,621.75,621.75,621.75,621.75,621.75,0
2017-03-14,625.75,625.75,625.75,625.75,625.75,0
2017-03-15,633.75,633.75,633.75,633.75,633.75,0
2017-03-16,632.5,632.5,632.5,632.5,632.5,0
2017-03-17,633.0,633.0,633.0,633.0,633.0,0
2017-03-20,631.0,631.0,631.0,631.0,631.0,0
2017-03-21,634.0,634.0,634.0,634.0,634.0,0
2017-03-22,635.25,635.25,635.25,635.25,635.25,0
2017-03-23,631.5,631.5,631.5,631.5,631.5,0
2017-03-24,630.5,630.5,630.5,630.5,630.5,0
2017-03-27,628.0,628.0,628.0,628.0,628.0,0
2017-03-28,628.5,628.5,628.5,628.5,628.5,0
2017-03-29,628.75,628.75,628.75,628.75,628.75,0
2017-03-30,627.5,627.5,627.5,627.5,627.5,0
2017-03-31,627.5,627.5,627.5,627.5,627.5,0
2017-04-03,601.5,601.5,601.5,601.5,601.5,0
2017-04-04,594.5,594.5,594.5,594.5,594.5,0
2017-04-05,611.25,611.25,611.25,611.25,611.25,0
2017-04-06,609.5,609.5,609.5,609.5,609.5,0
2017-04-07,600.5,600.5,600.5,600.5,600.5,0
2017-04-10,589.25,589.25,589.25,589.25,589.25,0
2017-04-11,592.5,592.5,592.5,592.5,592.5,0
2017-04-12,589.5,589.5,589.5,589.5,589.5,0
2017-04-13,587.25,587.25,587.25,587.25,587.25,0
2017-04-17,581.0,581.0,581.0,581.0,581.0,0
2017-04-18,578.5,578.5,578.5,578.5,578.5,0
2017-04-19,577.75,577.75,577.75,577.75,577.75,0
2017-04-20,580.75,580.75,580.75,580.75,580.75,0
2017-04-21,582.75,582.75,582.75,582.75,582.75,0
2017-04-24,582.75,582.75,582.75,582.75,582.75,0
2017-04-25,580.75,580.75,580.75,580.75,580.75,0
2017-04-26,582.25,582.25,582.25,582.25,582.25,0
2017-04-27,582.25,582.25,582.25,582.25,582.25,0
2017-04-28,582.25,582.25,582.25,582.25,582.25,0
2017-05-01,579.25,579.25,579.25,579.25,579.25,0
2017-05-02,588.75,588.75,588.75,588.75,588.75,0
2017-05-03,584.75,584.75,584.75,584.75,584.75,0
2017-05-04,586.25,586.25,586.25,586.25,586.25,0
2017-05-05,593.25,593.25,593.25,593.25,593.25,0
2017-05-08,597.5,597.5,597.5,597.5,597.5,0
2017-05-09,601.75,601.75,601.75,601.75,601.75,0
2017-05-10,601.75,601.75,601.75,601.75,601.75,0
2017-05-11,608.25,608.25,608.25,608.25,608.25,0
2017-05-12,605.5,605.5,605.5,605.5,605.5,0
2017-05-15,611.0,611.0,611.0,611.0,611.0,0
2017-05-16,603.0,603.0,603.0,603.0,603.0,0
2017-05-17,606.5,606.5,606.5,606.5,606.5,0
2017-05-18,604.25,604.25,604.25,604.25,604.25,0
2017-05-19,605.0,605.0,605.0,605.0,605.0,0
2017-05-22,608.5,608.5,608.5,608.5,608.5,0
2017-05-23,605.5,605.5,605.5,605.5,605.5,0
2017-05-24,603.0,603.0,603.0,603.0,603.0,0
2017-05-25,605.25,605.25,605.25,605.25,605.25,0
2017-05-26,603.0,603.0,603.0,603.0,603.0,0
2017-05-30,601.25,601.25,601.25,601.25,601.25,0
2017-05-31,601.25,601.25,601.25,601.25,601.25,0
2017-06-01,585.75,585.75,585.75,585.75,585.75,0
2017-06-02,583.25,583.25,583.25,583.25,583.25,0
2017-06-05,585.5,585.5,585.5,585.5,585.5,0
2017-06-06,586.5,586.5,586.5,586.5,586.5,0
2017-06-07,577.25,577.25,577.25,577.25,577.25,0
2017-06-08,575.75,575.75,575.75,575.75,575.75,0
2017-06-09,577.5,577.5,577.5,577.5,577.5,0
2017-06-12,577.5,577.5,577.5,577.5,577.5,0
2017-06-13,574.5,574.5,574.5,574.5,574.5,0
2017-06-14,577.5,577.5,577.5,577.5,577.5,0
2017-06-15,583.5,583.5,583.5,583.5,583.5,0
2017-06-16,580.25,580.25,580.25,580.25,580.25,0
2017-06-19,581.25,581.25,581.25,581.25,581.25,0
2017-06-20,578.5,578.5,578.5,578.5,578.5,0
2017-06-21,576.5,576.5,576.5,576.5,576.5,0
2017-06-22,577.0,577.0,577.0,577.0,577.0,0
2017-06-23,576.5,576.5,576.5,576.5,576.5,0
2017-06-26,576.5,576.5,576.5,576.5,576.5,0
2017-06-27,576.5,576.5,576.5,576.5,576.5,0
2017-06-28,576.5,576.5,576.5,576.5,576.5,0
2017-06-29,577.25,577.25,577.25,577.25,577.25,0
2017-06-30,577.0,577.0,577.0,577.0,577.0,0
2017-07-03,582.5,582.5,582.5,582.5,582.5,0
2017-07-05,590.25,590.25,590.25,590.25,590.25,0
2017-07-06,594.25,594.25,594.25,594.25,594.25,0
2017-07-07,593.0,593.0,593.0,593.0,593.0,0
2017-07-10,600.0,600.0,600.0,600.0,600.0,0
2017-07-11,598.5,598.5,598.5,598.5,598.5,0
2017-07-12,598.25,598.25,598.25,598.25,598.25,0
2017-07-13,595.5,595.5,595.5,595.5,595.5,0
2017-07-14,596.5,596.5,596.5,596.5,596.5,0
2017-07-17,593.0,593.0,593.0,593.0,593.0,0
